Genome	Adenine	L-arabinose	D-cellobiose	D-Galactose	D-Glucosamine	D-Glucose	D-Mannitol	D-Trehalose	cystine	L-cysteine	L-histidine	deoxyinosine	deoxyribose	Ethanol	fructose	glycerol	glycine	L-Alanine	L-Arginine	L-Asparagine	L-Citrulline	L-Glutamine	L-Isoleucine	L-Leucine	L-Lysine	L-Methionine	L-Phenylalanine	L-Proline	L-Serine	L-Threonine	L-Tryptophan	L-tyrosine	L-Valine	lactose	myo-inositol	maltose	mannose	Methanol	N-Acetyl-D-Glucosamine	putrescine	salicin	L-fucose	p-hydroxybenzoate	ferulate	trehalose	sucrose
CPT56D-587-MTF.genome	0	0	0	0	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0
DP16D-L5.genome	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DP16D-R1.genome	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
DP16D-T1.genome	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
EB106-08-02-XG196.genome	0	0	0	1	1	1	1	1	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	1
EB106-08-03-XG77.genome	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0
FW104-10B01.genome	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
FW104-15G4B.genome	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FW104-15G4D.genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FW104-R3.genome	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
FW104-R5.genome	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FW104-T2.genome	0	1	0	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	1
FW126-L8.genome	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1
