LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LEN	LINEAR_DOC	ROLLUP_DOC	REL_ABUNDANCE	LINEAR_COV	LINEAR_COV_MAPPED_SIG	BEST_LINEAR_COV	MAPPED_SIG_LENGTH	TOL_SIG_LENGTH	ABUNDANCE	ZSCORE	NOTE
superkingdom	Bacteria	2	1028738	76709837	1777615	12471635	6.150744	30.972898	0.905482	0.057470	0.667072	0.611453	18696081	217009626	30.972898	0.797151	
superkingdom	Viruses	10239	874	69225	1982	11806	5.863544	3.233062	0.094518	0.165770	0.825075	0.481577	14309	71219	3.233062	1.037550	
phylum	Actinobacteria	201174	843584	60289632	1313122	5611106	10.744697	23.934897	0.699729	0.070970	0.737570	0.549153	7607560	79063149	23.934897	0.906082	
phylum	Proteobacteria	1224	171147	15220128	412375	6161064	2.470373	6.697203	0.195791	0.056913	0.641273	0.611453	9607549	108254420	6.697203	0.797151	
phylum	Caudovirales - no_c_rank - no_p_rank	0	874	69225	1982	11806	5.863544	3.233062	0.094518	0.165770	0.825075	0.481577	14309	71219	3.233062	1.037550	
phylum	Bacteroidetes	976	10032	895430	38330	543070	1.648830	0.245752	0.007184	0.027752	0.467382	0.040155	1161941	19568982	0.245752	4.889147	
phylum	Verrucomicrobia	74201	2468	176440	8194	72861	2.421597	0.061505	0.001798	0.025399	0.536630	0.025399	135775	2868688	0.061505	6.194519	
phylum	Acidobacteria	57723	1194	104493	5363	67894	1.539061	0.018356	0.000537	0.011926	0.423034	0.011926	160493	5692709	0.018356	9.102033	
phylum	Deinococcus-Thermus	1297	313	23714	231	15640	1.516240	0.015185	0.000444	0.010015	0.687080	0.010015	22763	1561678	0.015185	9.942411	
class	Actinobacteria	1760	843584	60289632	1313122	5611106	10.744697	23.934897	0.699729	0.070970	0.737570	0.549153	7607560	79063149	23.934897	0.906082	
class	Alphaproteobacteria	28211	123504	10771756	293172	3873229	2.781079	4.564237	0.133434	0.055519	0.642168	0.611453	6031493	69764336	4.564237	0.797151	
class	Caudovirales - no_c_rank	0	874	69225	1982	11806	5.863544	3.233062	0.094518	0.165770	0.825075	0.481577	14309	71219	3.233062	1.037550	
class	Betaproteobacteria	28216	33250	3341437	94014	1597951	2.091076	1.240040	0.036252	0.135138	0.654858	0.373453	2440149	11824627	1.240040	1.295266	
class	Gammaproteobacteria	1236	12335	929209	22159	564556	1.645911	0.861989	0.025200	0.026985	0.605294	0.095405	932697	20920813	0.861989	3.079233	
class	Flavobacteriia	117743	2940	218211	8959	62178	3.509457	0.129252	0.003779	0.018689	0.621743	0.025581	100006	3326988	0.129252	6.171871	
class	Chitinophagia	1853228	7092	677219	29371	480892	1.408256	0.116501	0.003406	0.029608	0.452845	0.040155	1061935	16241994	0.116501	4.889147	
