LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LEN	LINEAR_DOC	ROLLUP_DOC	REL_ABUNDANCE	LINEAR_COV	LINEAR_COV_MAPPED_SIG	BEST_LINEAR_COV	MAPPED_SIG_LENGTH	TOL_SIG_LENGTH	ABUNDANCE	ZSCORE	NOTE
superkingdom	Bacteria	2	556885	41014726	945786	9515210	4.310438	16.399010	0.962700	0.054047	0.646752	0.516078	14712295	176053847	16.399010	0.968344	
superkingdom	Viruses	10239	159	12927	431	5772	2.239605	0.635391	0.037300	0.154916	0.648539	0.240350	8900	37259	0.635391	1.777805	
phylum	Actinobacteria	201174	473694	33890845	741399	5267106	6.434434	13.452247	0.789711	0.083407	0.750453	0.516078	7018570	63149252	13.452247	0.968344	
phylum	Proteobacteria	1224	70787	6105809	155109	3706800	1.647191	2.684466	0.157591	0.043974	0.581132	0.326740	6378583	84295513	2.684466	1.435458	
phylum	Caudovirales - no_c_rank - no_p_rank	0	159	12927	431	5772	2.239605	0.635391	0.037300	0.154916	0.648539	0.240350	8900	37259	0.635391	1.777805	
phylum	Bacteroidetes	976	5510	474813	21876	299495	1.585379	0.119353	0.007007	0.026307	0.468191	0.033350	639686	11384515	0.119353	5.383774	
phylum	Verrucomicrobia	74201	4473	320095	14678	94095	3.401828	0.111582	0.006550	0.032801	0.522904	0.032801	179947	2868688	0.111582	5.430207	
phylum	Acidobacteria	57723	1066	92994	4671	61659	1.508198	0.016336	0.000959	0.010831	0.414922	0.010831	148604	5692709	0.016336	9.556447	
phylum	Planctomycetes	203682	1355	130170	8053	86055	1.512637	0.015026	0.000882	0.009933	0.248065	0.009933	346905	8663170	0.015026	9.983494	
class	Actinobacteria	1760	473694	33890845	741399	5267106	6.434434	13.452247	0.789711	0.083407	0.750453	0.516078	7018570	63149252	13.452247	0.968344	
class	Alphaproteobacteria	28211	45985	3889395	107943	2276077	1.708815	1.594701	0.093617	0.041057	0.584338	0.326740	3895135	55436618	1.594701	1.435458	
class	Gammaproteobacteria	1236	15934	1346016	24847	850028	1.583496	0.798823	0.046895	0.061673	0.626676	0.185565	1356408	13782774	0.798823	2.094983	
class	Caudovirales - no_c_rank	0	159	12927	431	5772	2.239605	0.635391	0.037300	0.154916	0.648539	0.240350	8900	37259	0.635391	1.777805	
class	Betaproteobacteria	28216	7798	780348	20725	515185	1.514695	0.275266	0.016159	0.055209	0.506645	0.102501	1016856	9331477	0.275266	2.959056	
class	Opitutae	414999	4473	320095	14678	94095	3.401828	0.111582	0.006550	0.032801	0.522904	0.032801	179947	2868688	0.111582	5.430207	
class	Chitinophagia	1853228	4519	401139	18412	279034	1.437599	0.078445	0.004605	0.029116	0.464210	0.033350	601094	9583522	0.078445	5.383774	
