feature_ids	Ath_WT_R1_expression	Ath_WT_R2_expression	Ath_hy5_R1_expression	Ath_hy5_R2_expression
AT3G14770	5.019769171221698	4.945505766634486	3.050256857702075	3.1152089707359925
AT4G12460	1.1526165423989134	0.4098538172516267	2.7012734847651045	2.9828122755643593
AT1G68790	1.172864625077088	1.1359135987543758	3.0960426311431526	3.4587510502757204
AT5G16780	1.1339324205535117	0.7773333041439379	3.527632149125558	4.079876353203835
AT3G05130	1.7020835194494843	1.4258403465235272	3.8713229972794396	3.8966009537625284
AT5G46030	3.942791238519566	3.4530915981326022	5.907655116509941	5.961658645086197
AT3G50480	2.710511684260557	3.0294569154432893	5.075403667705513	5.1948888348068705
AT5G10950	1.8000969571009753	1.4286355898196592	3.8477392119039013	4.077915004301801
AT3G06400	1.7679961100587192	1.471693720640283	4.377808515785542	4.831352834872059
AT1G11475	5.7752257178769275	6.285300688188642	2.5893356734116444	3.368261901265728
AT3G44670	2.101899982598202	1.6908090931837902	3.7777362612046295	3.839760922924478
AT3G48570	4.632468201629766	4.177165967723649	0.0	0.0
AT1G15200	2.953964732026324	3.2554437249619017	5.1626481931066115	5.417604963480828
AT3G51240	4.238151801737596	4.633371052876957	2.0794873612940954	1.4338867443618857
AT1G20970	1.9986188696151628	1.2462156842252017	3.7570271487730253	4.160177310171194
AT3G47910	1.460777931524959	0.6538357247468821	3.791507676503593	3.9549397983968255
AT5G13840	0.0	0.6894421577377462	2.6716655045360858	3.874536896089543
AT1G70620	1.9850394873688149	1.499953259005993	4.878291702995075	4.86697313696177
AT4G04740	0.6720914834556663	0.5406084265999859	3.3826983888735516	3.0512269322381838
AT5G42540	0.9483391153407074	1.2210085033307987	3.4610742286117135	4.107700754399727
AT3G16810	0.0	0.0	2.663966494181765	2.04114535904004
AT1G07770	9.779919561655003	9.763270612565584	7.246991728506564	7.386230724488792
AT5G03420	1.9542478348551533	1.694878230132422	3.7761421469381253	4.056343385366996
AT2G13370	0.8681423148615617	0.607232306542759	2.5925751482868686	2.8876063771533467
AT2G25510	5.702742803963763	6.091322969165357	8.87056985436302	8.958554626269274
AT1G70320	2.9536449011079045	2.4600433031958913	4.914670792885208	4.9347253660767745
AT5G44180	1.9397502773989774	1.4091206623403674	3.7229168062218525	3.8853828986025127
AT5G49930	0.6761666276285361	0.7154999762940392	2.7657862168030833	3.069946147268325
AT2G31960	1.196041262714302	1.751919024439566	3.012488184153598	3.6283830596109463
AT1G09645	5.40667216538571	4.916314229454323	2.540603397877582	2.9329619374398654
AT1G22610	0.0	0.0	4.435307440881194	4.552720077905433
AT4G16280	0.7240015791770662	1.1295314578376514	2.6812598974548774	3.018971579989406
AT1G15120	7.788731512396969	7.801341988435747	5.641170053855688	5.861789250961832
AT2G48060	0.8864563107824099	0.9792654443782053	2.5712861090450247	2.3697062419048143
AT1G59890	0.0	0.0	2.9464441935896413	3.1765636044713847
AT3G06880	0.0	0.602762370897013	2.1175297988784507	2.7902365688509985
AT1G64790	0.4672203992519263	0.41586062905514326	3.0265605311587165	3.1116516638505605
AT1G21160	1.0233638256819437	0.7558036297578493	2.632801907658383	3.080678860741885
AT3G47890	0.9346951386763884	0.9479483603035738	2.3169162346627092	2.9538666243174796
AT1G55860	1.925547448536979	2.0874407483512574	4.292451212435185	4.4338549132508716
AT1G24460	0.45519593435174405	1.0984313304830107	3.268269388983574	3.550273853670291
AT1G77120	4.503118778720444	4.670390077845445	1.3176602998281874	0.0
AT5G13010	1.4864951555160015	1.8507425575475804	3.751757579146287	4.100874080675601
AT1G80930	3.4582496470672974	3.3215095559279835	5.413104079246473	5.604252325601574
AT4G00060	1.3775685618926903	1.1298143143066264	2.799622501074589	3.4062850216297096
AT3G14430	7.18687761672626	7.138881565093461	5.060566161514458	4.8298000289464245
AT4G28520	0.0	0.0	2.329676246612088	2.9482213095485728
AT1G69070	0.9358716632579165	0.47736473692611175	2.865441383224633	2.9361039479551425
AT5G52250	4.319542907009774	4.097650076948162	1.7266764669678991	1.5994260638531577
AT2G42540	0.0	0.0	3.3181157226143285	2.9182306239874882
AT3G28460	0.0	1.188263514468132	3.945381432642279	3.7272694771120856
AT1G22690	9.320064357258843	9.304278957620426	5.444644759165087	6.887137130939882
AT1G27580	2.931679912800787	3.2879779467050305	0.0	0.0
AT5G20490	0.8972578025121621	1.2311947723113132	2.788464759553583	3.2868569202986047
AT1G64550	2.9854590331194406	1.2634980535256384	4.965375115589652	4.41335149602836
AT5G41020	2.4061369589092685	1.7727098896438482	4.150817357709789	4.361103502109103
AT1G65440	2.757622264704018	2.779762434515519	5.250065422345491	5.140238324186398
AT3G54500	3.9324333997544376	3.8142829032944285	5.901021046561516	5.944754833763345
AT3G15710	4.2236297044490865	3.7516844400464273	0.0	0.0
AT5G08420	2.6075202620016205	2.062989394087461	4.456726947504692	5.283270768249444
AT5G27290	2.1057511268117493	2.91196146724982	4.153501727765987	4.738251174885607
AT4G23800	1.4150104503784815	1.05230622756003	4.9408892074914705	4.920477114557551
AT1G02080	0.6531647013952869	1.4782027523230294	2.749078123334395	3.2600743678123214
AT1G02330	0.0	0.0	2.179952304620317	4.3006029771435275
AT5G13930	6.1871163784762695	6.33935682413125	4.038731801716279	4.038835400997272
AT2G27960	5.35323586632069	6.611663203822354	3.239868476933688	4.313480368446913
AT5G45570	0.0	0.0	2.1290538490996975	2.6180429222629495
AT1G65010	2.4084953182784665	2.2590513182200564	4.174647259200309	4.347392953679169
AT4G12610	1.2627009727447203	1.8239445285212956	3.4056315098818954	3.9332921958464437
AT3G06430	1.3377553186248263	2.565904942067833	4.853446889375431	5.110833627982277
AT2G18660	0.0	0.0	2.69758645021667	2.097076743087947
AT1G64330	2.507759841629681	2.597972566228997	4.264298582811015	4.925952788964746
AT4G14400	1.2284866409765325	2.2028871751942156	4.369152833997992	4.7068091932176355
AT1G56070	4.694235217767879	6.031305422511872	8.237028403915403	8.40012041529782
AT5G10760	0.0	0.0	3.750598822854807	3.4610880419622223
